customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,review_rating_was_null,state_abbrev,promo_dependency_score,is_promo_dependent,purchase_freq_numeric,estimated_clv_proxy,value_composite,value_tier,satisfaction_flag,is_subscriber,loyalty_freq,loyalty_spend,customer_segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,0,KY,1.0,1,26,1378,0.3893340669601173,Mid,0,1,0,0,Mid-Value Promo-Dependent
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,0,ME,1.0,1,26,1664,0.3535347472322263,Mid,0,1,0,0,Mid-Value Promo-Dependent
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,0,MA,1.0,1,52,3796,0.703826530612245,High,0,1,0,0,High-Value Promo-Dependent
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,0,RI,1.0,1,52,4680,0.951530612244898,High,0,1,0,0,High-Value Promo-Dependent
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,0,OR,1.0,1,1,49,0.3249149659863946,Low,0,1,0,0,Low-Value Promo-Dependent
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,0,WY,1.0,1,52,1040,0.4217687074829932,Mid,0,1,0,0,Mid-Value Promo-Dependent
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,0,MT,1.0,1,4,340,0.6169717887154862,High,0,1,0,0,High-Value Promo-Dependent
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,0,LA,1.0,1,52,1768,0.5141156462585034,High,0,1,0,0,High-Value Promo-Dependent
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,0,WV,1.0,1,1,97,0.368452380952381,Mid,0,1,0,0,Mid-Value Promo-Dependent
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,0,MO,1.0,1,4,124,0.0858493397358943,Low,1,1,0,0,Low-Value Promo-Dependent
