customer_id,promo_dependency_score,is_promo_dependent,purchase_freq_numeric,estimated_clv_proxy,value_composite,value_tier,satisfaction_flag,is_subscriber,loyalty_freq,loyalty_spend,customer_segment
1,1.0,1,26,1378,0.3893340669601173,Mid,0,1,0,0,Mid-Value Promo-Dependent
2,1.0,1,26,1664,0.3535347472322263,Mid,0,1,0,0,Mid-Value Promo-Dependent
3,1.0,1,52,3796,0.703826530612245,High,0,1,0,0,High-Value Promo-Dependent
4,1.0,1,52,4680,0.951530612244898,High,0,1,0,0,High-Value Promo-Dependent
5,1.0,1,1,49,0.3249149659863946,Low,0,1,0,0,Low-Value Promo-Dependent
6,1.0,1,52,1040,0.4217687074829932,Mid,0,1,0,0,Mid-Value Promo-Dependent
7,1.0,1,4,340,0.6169717887154862,High,0,1,0,0,High-Value Promo-Dependent
8,1.0,1,52,1768,0.5141156462585034,High,0,1,0,0,High-Value Promo-Dependent
9,1.0,1,1,97,0.368452380952381,Mid,0,1,0,0,Mid-Value Promo-Dependent
10,1.0,1,4,124,0.0858493397358943,Low,1,1,0,0,Low-Value Promo-Dependent
11,1.0,1,26,884,0.3918000533546752,Mid,1,1,0,0,Mid-Value Promo-Dependent
12,1.0,1,26,1768,0.4246231826063758,Mid,1,1,0,1,Mid-Value Promo-Dependent
13,1.0,1,26,1872,0.6249633186607976,High,1,1,0,1,High-Value Promo-Dependent
14,1.0,1,52,2652,0.6665816326530613,High,1,1,0,1,High-Value Promo-Dependent
15,1.0,1,52,2756,0.6953231292517007,High,1,1,0,1,High-Value Promo-Dependent
16,1.0,1,12,972,0.3736811391223156,Mid,0,1,0,0,Mid-Value Promo-Dependent
17,1.0,1,26,936,0.5225823662798453,High,1,1,0,1,High-Value Promo-Dependent
18,1.0,1,4,152,0.332703081232493,Low,1,1,0,0,Low-Value Promo-Dependent
19,1.0,1,52,2496,0.558843537414966,High,1,1,0,1,High-Value Promo-Dependent
20,1.0,1,26,2340,0.761187808456716,High,0,1,0,0,High-Value Promo-Dependent
21,1.0,1,4,204,0.4821078431372549,Mid,0,1,0,0,Mid-Value Promo-Dependent
22,1.0,1,4,248,0.3374649859943977,Low,1,1,0,0,Low-Value Promo-Dependent
23,1.0,1,1,37,0.2817176870748299,Low,0,1,0,0,Low-Value Promo-Dependent
24,1.0,1,52,4576,0.8819727891156462,High,1,1,0,1,High-Value Promo-Dependent
25,1.0,1,52,1144,0.4437074829931973,Mid,0,1,0,0,Mid-Value Promo-Dependent
26,1.0,1,1,25,0.1092687074829932,Low,0,1,0,0,Low-Value Promo-Dependent
27,1.0,1,1,20,0.0816326530612244,Low,0,1,0,0,Low-Value Promo-Dependent
28,1.0,1,4,224,0.2104241696678671,Low,1,1,0,0,Low-Value Promo-Dependent
29,1.0,1,4,376,0.6000500200080032,High,1,1,0,0,High-Value Promo-Dependent
